Root Domain,Location on Site,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Overall Score,Performance,Accessibility,SEO,Best Practices,Telephones,Emails,X,Twitter,TikTok,Threads,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,YouTube,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CRuX Rank,Cloudflare Rank,Exclusion,Compliance
djbet888.com,djbet888.com,$0,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-08,2022-05-25,2016-07-30,2024-04-30,,-,-,-,-
djbet9.co,djbet9.co,$0,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-02,2022-04-18,2019-02-02,2024-04-30,,-,-,-,-
djbet9.com,djbet9.com,$0,,0,0,0,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-02,2022-05-25,2016-07-30,2024-04-30,,-,-,-,-
djbet9.net,djbet9.net,$0,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-12,2022-05-25,2016-07-30,2024-04-30,,-,-,-,-
djbonafit.com,novawebmaroc.com.djbonafit.com;rtpbonafit88.pro.djbonafit.com;rtpbonafit88.xyz.djbonafit.com,$250,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-16,2024-04-16,2023-09-19,2024-04-30,Shopify,-,-,-,-
djbpattaya.com,djbpattaya.com,$100,,,,,,Law  Govt And Politics,Outside Top 1m,20834873,Outside Top 1m,Outside Top 1m,,,,,,ph:,,,,,,,,,,,,,,,,,Bang Lamung,20,20150,TH,2021-01-24,2024-04-30,2019-02-02,2024-04-30,,Top 10m,-,-,-
djbrandonchase.com,djbrandonchase.com,$0,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-31,2018-06-02,2018-05-31,2024-04-30,,-,-,-,-
djbrandonchase.net,djbrandonchase.net,$0,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-31,2018-06-02,2018-05-31,2024-04-30,,-,-,-,-
djburnz.com,djburnz.com,$0,,,,,,,Outside Top 1m,58888183,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-14,2023-06-14,2021-03-23,2024-04-30,,-,-,-,-
djc200.com,djc200.com,$0,,,,,,,Outside Top 1m,Outside Top 100m,Outside Top 1m,Outside Top 1m,,,,,,,,,,,,,,,,,,,,,David Choi - Other - noemail,,,,,,2022-10-09,2022-10-09,2018-05-31,2024-04-30,,-,-,-,-
djca.co.nz,djca.co.nz,$0,,,,,djca Ltd,Business And Industrial,Outside Top 1m,34234055,Outside Top 1m,Outside Top 1m,,,,,,ph:+44-203-6910206,,,twitter.com/djcanz,,,facebook.com/djcasidekick,linkedin.com/company/djca-ltd,,,,,,,,N/A - Marketing - n/a@djca.co.nz; N/A - Manager - n/a@djca.co.nz; N/A - Csuite - n/a@djca.co.nz,,London,LND,W1C,GB,2017-06-26,2018-09-01,2013-02-28,2024-05-11,,-,-,-,GDPR United Kingdom
djca.co.uk,djca.co.uk,$500,"$17,254",0,1,0,djca,Finance,Outside Top 1m,23885050,Outside Top 1m,Outside Top 1m,,,,,,ph:+44-203-6910206,hello@djca.co.uk,,twitter.com/djcasidekick,,,facebook.com/djcauk,linkedin.com/company/djca-ltd,,,,,,,,N/A - Bizdev - noemail; N/A - Support - noemail; N/A - Consultant - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - Csuite - noemail,,London,ENG,EC4A,GB,2017-04-08,2020-08-31,2013-02-28,2024-05-14,,Top 50m,-,-,GDPR United Kingdom
